Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.p.mg,Cerebellum_O.n,Cerebellum_O.p.N,Cerebellum_O.p.mg,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_N.n,CerebralCortex_N.p.mg,CerebralCortex_O.n,CerebralCortex_O.p.N,CerebralCortex_O.p.mg,RoB_C.n,RoB_Mass.g,RoB_N.n,RoB_N.p.mg,RoB_O.n,RoB_O.p.N,RoB_O.p.mg,WholeBrain_C.n,WholeBrain_Mass.g,WholeBrain_N.n,WholeBrain_O.n,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Brain_Mass.g,Brain_N.n,SpinalCord_Length.mm,SpinalCord_Mass.g,SpinalCord_N.n,SpinalCord_N.p.mg,SpinalCord_O.n,SpinalCord_O.p.mg,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Vol.mm3,Amygdala_Vol.mm3.1,Body_Mass.g.1,Cerebellum_N.n.1,Cerebellum_Vol.mm3,Cerebellum_Vol.mm3.1,CerebralCortex_N.n.1,EntorhinalCortex_Vol.mm3,EntorhinalCortex_Vol.mm3.1,Hippocampus_Vol.mm3,Hippocampus_Vol.mm3.1,Hypothalamus_Vol.mm3,Hypothalamus_Vol.mm3.1,Medulla_Vol.mm3,Medulla_Vol.mm3.1,MesencephalonMedulla_N.n,MesencephalonMedulla_N.n.1,Neocortex_Vol.mm3,Neocortex_Vol.mm3.1,OlfactoryBulb_N.n.1,OlfactoryBulb_Vol.mm3,OlfactoryBulb_Vol.mm3.1,OlfactoryCortices_Vol.mm3,OlfactoryCortices_Vol.mm3.1,Septum_Vol.mm3,Septum_Vol.mm3.1,Striatum_Vol.mm3,Striatum_Vol.mm3.1,SubcorticalForebrain_N.n,SubcorticalForebrain_N.n.1,Tectum_Vol.mm3,Tectum_Vol.mm3.1,Tegmentum_Vol.mm3,Tegmentum_Vol.mm3.1,Thalamus_Vol.mm3,Thalamus_Vol.mm3.1,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_Mass.g.1,WholeBrainOlfactoryBulb_N.n,WholeBrainOlfactoryBulb_N.n.1,Hippocampus_C.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.p.C
Amblysomus hottentotus,79,42644000,0.084,34488379,409687,8155621,0.236,96849,42886000,0.439,21516000,48932,21370000,0.982,48146,25905000,0.289,9070358,31616,16834642,1.839,58880,111705000,0.812,65074000,46631000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antidorcas marsupialis,25000,2724458750,11.458,2257214074,196999,467244676,0.207,40779,4523155434,68.806,396896159,5768,4126259275,10.396,59969,1389765624,25.81,70485000,2731,1319280624,18.71,51115,8637379808,106.074,2724595233,5912784575,0.0214865793068073,0.0604766228081355,0.0603145472355014,0.0569999998506161,1.2,15998400,13332,105201600,6.576,87668,0.0606648880530952,0.04708908919587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aotus trivirgatus,925,1185270000,1.732,1040000000,605080,145270000,0.14,82890,1137320000,10.617,441900000,41990,695420000,1.574,65330,362800000,3.104,49340000,15900,313460000,6.353,100990,2663540000,15.73,1468410000,1195130000,NA,NA,0.0183102894248239,NA,0.05,7925468,155879,8360532,1.055,162922,NA,NA,15.73,1470,169.88,2.131,5.82,2911,91,44202,0.18,11.93,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bathyergus suillus,907.82,NA,NA,268890000,NA,NA,NA,NA,NA,NA,43480000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337480000,NA,NA,NA,NA,NA,NA,23810000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,3,320.93,17470000,683,82,5110000,96,3,194,1,85,7,368,30,8670000,600000,1011,21,2960000,132,14,173,15,35,7,249,20,16420000,750000,69,6,156,18,173,15,3.78,0.14,361290000,24400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blarina brevicauda,16.2,37840000,0.037,33430000,919942,4410000,0.132,118736,27696000,0.197,11876000,60214,15820000,1.357,80729,19660000,0.113,6340000,55924,13320000,2.102,117736,88740000,0.347,55190000,33550000,NA,NA,NA,NA,0.026,8090000,318164,4910000,0.607,193631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callimico goeldii,NA,NA,NA,NA,NA,NA,NA,NA,1072460000,12.984,357129180,27505,715330820,2.003,55093,248440000,2.086,53911480,25844,194528520,3.608,93254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callithrix jacchus,361,410860000,0.73,361370000,494970,49490000,0.137,68170,640060000,5.561,244720000,44280,395340000,1.615,71800,175630000,1.489,29720000,19650,145910000,4.909,98370,1226540000,7.78,635800000,590740000,NA,NA,NA,NA,0.008,2108078,232309,2547922,1.209,269383,NA,NA,7.78,635.8,NA,0.621,3.65,5875,44.55,71734,0.18,7.39,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis lupus familiaris,19700,2525310000,7.512,1676630000,223194,848680000,0.506,NA,3944370000,65.491,527910000,8061,3416460000,6.472,NA,976240000,13.459,48150000,3577,928090000,19.275,NA,7445920000,86.462,2252690000,5193230000,0.0191000000989976,0.0795999998947842,0.0794999999683092,0.0780999991237678,NA,NA,NA,NA,NA,NA,0.105899999871958,0.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142660000,2.01,8610000,4282,134050000,15.575,2.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cardioderma cor,26,NA,103475.348622945,63792242,616497,NA,NA,NA,NA,257039.682140522,10221440,39766,NA,NA,NA,NA,201212.912805565,7317510,36367,NA,NA,NA,NA,0.562,81331192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casinycteris argynnis,27,NA,128000.061152779,77445413,605042,NA,NA,NA,NA,462003.220682961,10471765,22666,NA,NA,NA,NA,302002.666594106,11098900,36751,NA,NA,NA,NA,0.892,99016077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
