table,structure,subregion,species_printed,species,is_average,measure,value,sd,units,n_areas,reference
S23,White matter,Corpus callosum,mouse,Mus musculus,False,CMRgl,0.47,0.1,umol/g/min,,"Quelven et al 2004, estim."
S23,White matter,Corpus callosum,rat,Rattus norvegicus,False,CMRgl,0.29,0.03,umol/g/min,,Waschke et al 1993
S23,White matter,Corpus callosum,rat,Rattus norvegicus,False,CMRgl,0.22,0.02,umol/g/min,,Nehlig et al 2000
S23,White matter,Corpus callosum,average rat,Rattus norvegicus,True,CMRgl,0.26,0.03,umol/g/min,,
S23,White matter,Corpus callosum,cat,Felis catus,False,CMRgl,0.15,0.02,umol/g/min,,Sokoloff 1984
S23,White matter,Corpus callosum,cat,Felis catus,False,CMRgl,0.22,0.02,umol/g/min,,Chugani et al 1991
S23,White matter,Corpus callosum,average cat,Felis catus,True,CMRgl,0.19,0.02,umol/g/min,,
S23,White matter,Corpus callosum,monkey,Macaca mulatta,False,CMRgl,0.11,0.0,umol/g/min,,Kennedy et al 1978
S23,White matter,Corpus callosum,monkey,Macaca mulatta,False,CMRgl,0.11,0.01,umol/g/min,,Palombo et al 1990
S23,White matter,Corpus callosum,average monkey,Macaca mulatta,True,CMRgl,0.11,0.01,umol/g/min,,
S23,White matter,Internal capsule,rat,Rattus norvegicus,False,CMRgl,0.25,0.04,umol/g/min,,Waschke et al 1993
S23,White matter,Internal capsule,rat,Rattus norvegicus,False,CMRgl,0.32,0.03,umol/g/min,,Nehlig et al 1988
S23,White matter,Internal capsule,average rat,Rattus norvegicus,True,CMRgl,0.29,0.04,umol/g/min,,
S23,White matter,Internal capsule,rabbit,Oryctolagus cuniculus,False,CMRgl,0.26,0.03,umol/g/min,,Passero et al 1981
S23,White matter,Internal capsule,cat,Felis catus,False,CMRgl,0.17,0.02,umol/g/min,,Sokoloff et al 1984
S23,White matter,Internal capsule,monkey,Macaca mulatta,False,CMRgl,0.13,0.01,umol/g/min,,Kennedy et al 1978
S23,White matter,Internal capsule,monkey,Macaca mulatta,False,CMRgl,0.11,0.02,umol/g/min,,Palombo et al 1990
S23,White matter,Internal capsule,average monkey,Macaca mulatta,True,CMRgl,0.12,0.02,umol/g/min,,
