Source,Species_raw,curated,NCBI_id,NCBI_name,Species_final,name_source,flag_curated_overrides_ncbi,flag_unresolved
Barger_etal_2007_TABLE1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated,TRUE,FALSE
Barger_etal_2007_TABLE1,Homo sapiens,NA,9606,Homo sapiens,Homo sapiens,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Hylobates lar,NA,9580,Hylobates lar,Hylobates lar,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Pan paniscus,NA,9597,Pan paniscus,Pan paniscus,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Pan troglodytes,NA,9598,Pan troglodytes,Pan troglodytes,NCBI,FALSE,FALSE
Barger_etal_2007_TABLE1,Pongo pygmaeus,Pongo sp.,9600,Pongo pygmaeus,Pongo sp.,curated,TRUE,FALSE
Barger_etal_2014_Table1,Gorilla gorilla,NA,9593,Gorilla gorilla,Gorilla gorilla,NCBI,FALSE,FALSE
Barger_etal_2014_Table1,Homo sapiens,NA,9606,Homo sapiens,Homo sapiens,NCBI,FALSE,FALSE
Barger_etal_2014_Table1,Hylobates lar,NA,9580,Hylobates lar,Hylobates lar,NCBI,FALSE,FALSE
Barger_etal_2014_Table1,Hylobates muelleri,NA,9588,Hylobates muelleri,Hylobates muelleri,NCBI,FALSE,FALSE
Barger_etal_2014_Table1,Nomascus concolor,NA,29089,Nomascus concolor,Nomascus concolor,NCBI,FALSE,FALSE
Barger_etal_2014_Table1,Pan paniscus,NA,9597,Pan paniscus,Pan paniscus,NCBI,FALSE,FALSE
Barger_etal_2014_Table1,Pan troglodytes,NA,9598,Pan troglodytes,Pan troglodytes,NCBI,FALSE,FALSE
Barger_etal_2014_Table1,Pongo pygmaeus,NA,9600,Pongo pygmaeus,Pongo pygmaeus,NCBI,FALSE,FALSE
Barks_etal_2014_Fig4A,Gorilla beringei,Gorilla sp.,499232,Gorilla beringei,Gorilla sp.,curated,TRUE,FALSE
Barks_etal_2014_Fig4A,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated,TRUE,FALSE
Barks_etal_2014_TABLE1,Gorilla beringei,Gorilla sp.,499232,Gorilla beringei,Gorilla sp.,curated,TRUE,FALSE
Barks_etal_2014_TABLE1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated,TRUE,FALSE
Bauernfeind_etal_2013_Table1,Alouatta caraya,NA,9502,Alouatta caraya,Alouatta caraya,NCBI,FALSE,FALSE
Bauernfeind_etal_2013_Table1,Ateles geoffroyi,NA,9509,Ateles geoffroyi,Ateles geoffroyi,NCBI,FALSE,FALSE
Bauernfeind_etal_2013_Table1,Avahi laniger,Avahi occidentalis,122246,Avahi laniger,Avahi occidentalis,curated,TRUE,FALSE
Bauernfeind_etal_2013_Table1,Callithrix pygmaea,NA,9493,Cebuella pygmaea,Cebuella pygmaea,NCBI,FALSE,FALSE
Bauernfeind_etal_2013_Table1,Cebus albifrons,NA,9514,Cebus albifrons,Cebus albifrons,NCBI,FALSE,FALSE
Bauernfeind_etal_2013_Table1,Cercocebus agilis,NA,255237,Cercocebus agilis,Cercocebus agilis,NCBI,FALSE,FALSE
Bauernfeind_etal_2013_Table1,Cercopithecus kandti,Cercopithecus mitis,1137481,Cercopithecus kandti,Cercopithecus mitis,curated,TRUE,FALSE
Bauernfeind_etal_2013_Table1,Colobus angolensis,NA,54131,Colobus angolensis,Colobus angolensis,NCBI,FALSE,FALSE
Bauernfeind_etal_2013_Table1,Galagoides demidoff,NA,89672,Galagoides demidoff,Galagoides demidoff,NCBI,FALSE,FALSE
Bauernfeind_etal_2013_Table1,Gorilla gorilla,Gorilla sp.,9593,Gorilla gorilla,Gorilla sp.,curated,TRUE,FALSE
Bauernfeind_etal_2013_Table1,Homo sapiens,NA,9606,Homo sapiens,Homo sapiens,NCBI,FALSE,FALSE
